2022-10-12 236,57 222,21 195,67 198,99 219,90 240,47 307,23 348,86 448,32 332,25 283,73 247,73 215,85 220,30 218,73 225,82 256,92 295,09 378,40 448,35 324,45 273,02 243,61 228,57
2022-10-13 218,66 210,00 193,80 182,96 195,02 218,46 262,70 292,49 331,56 301,56 277,92 277,70 262,70 254,99 255,00 263,58 245,66 308,05 317,37 342,69 290,10 239,30 100,09 150,03
2022-10-14 32,32 34,28 36,36 46,24 218,92 229,49 284,17 350,00 222,91 327,39 297,26 259,82 262,01 238,37 221,42 242,69 258,60 275,00 290,00 304,81 266,99 217,94 179,99 193,00
2022-10-15 191,76 134,29 134,20	 134,20 134,29 133,36 147,49 165,57 189,31 199,33 185,09 160,00 144,91 136,57 137,08 148,96 155,29 161,03 180,74 186,33 161,76 142,95 100,80 50,09
2022-10-16 85,09 86,34 83,92 81,47 85,40 89,21 64,06 99,70 105,33 101,66 91,00 88,78 90,23 75,24 80,02 84,21 136,06 169,37 233,39 254,99 191,66 98,32 17,69 16,77
2022-10-17 20,21 39,99 39,99 61,77 109,97 159,18 200,02 337,15 413,51 301,59 177,64 130,43 120,11 121,66 127,56 149,62 200,00 261,09 300,00 284,34 298,33 245,17 150,61 143,80
2022-10-18 141,64 135,71 140,35 139,95 150,46 161,79 220,09 269,15 283,30 245,08 202,38 180,36 167,92 154,05 152,55 200,13 213,27 227,64 305,33 281,23 235,52 176,44 143,55 132,28
2022-10-19 139,73 125,18 121,42 125,15 133,29 148,04 169,72 240,21 249,04 212,32 183,16 174,24 158,66 148,56 143,43 157,99 169,48 194,58 243,06 240,02 240,07 166,10 160,89 143,00
